x_value,total_1,total_2
0,1000,1000
1,999,1003
2,993,998
3,1001,998
4,1000,1003
5,998,1004
6,1003,1003
7,1011,1002
8,1012,1002
9,1009,1006
10,1012,1012
11,1019,1009
12,1023,1015
13,1021,1014
14,1017,1012
15,1025,1010
16,1027,1016
17,1035,1018
18,1036,1020
19,1038,1019
20,1045,1014
21,1053,1014
22,1051,1018
23,1050,1021
24,1045,1024
25,1050,1028
26,1058,1023
27,1064,1023
28,1063,1027
29,1063,1025
30,1060,1021
31,1054,1024
32,1052,1022
33,1048,1021
34,1048,1025
35,1046,1021
36,1053,1019
37,1060,1015
38,1054,1012
39,1060,1011
40,1063,1011
41,1058,1007
42,1059,1006
43,1067,1010
44,1071,1016
45,1075,1017
46,1072,1020
47,1077,1019
48,1075,1015
49,1070,1021
50,1073,1023
51,1080,1025
52,1075,1025
53,1074,1026
54,1081,1022
55,1080,1019
56,1084,1018
57,1089,1022
58,1097,1020
59,1099,1021
60,1103,1023
61,1111,1023
62,1118,1022
63,1114,1023
64,1108,1024
65,1116,1024
66,1119,1024
67,1121,1019
68,1119,1018
69,1124,1016
70,1125,1013
71,1126,1008
72,1134,1003
73,1139,998
74,1133,999
75,1139,994
76,1144,992
77,1146,988
78,1144,992
79,1141,994
80,1141,994
81,1136,1000
82,1143,995
83,1139,997
84,1135,1001
85,1143,1001
86,1140,997
87,1141,997
88,1135,993
89,1143,995
90,1141,990
91,1138,986
92,1134,990
93,1136,987
94,1137,984
95,1135,980
96,1136,977
97,1142,980
98,1136,975
99,1140,980
100,1135,986
101,1139,991
102,1135,992
103,1134,998
104,1132,1003
105,1140,1001
106,1144,998
107,1149,995
108,1152,998
109,1146,997
110,1141,1000
111,1137,1000
112,1145,1000
113,1143,1005
114,1142,1003
115,1149,1007
116,1149,1011
117,1149,1012
118,1157,1007
119,1157,1006
120,1164,1007
121,1166,1008
122,1174,1010
123,1180,1009
124,1179,1015
125,1176,1014
126,1171,1016
127,1166,1018
128,1165,1020
129,1172,1020
130,1167,1024
131,1165,1024
132,1167,1022
133,1168,1027
134,1176,1024
135,1172,1028
136,1173,1032
137,1178,1037
138,1174,1042
139,1172,1041
140,1178,1038
141,1174,1040
142,1182,1036
143,1188,1040
144,1193,1039
145,1192,1034
146,1193,1038
147,1199,1041
148,1195,1046
149,1194,1052
150,1190,1055
151,1187,1061
152,1187,1059
153,1189,1059
