player,2019_20_salary,2020_21_salary,2021_22_salary,2022_23_salary
Stephen Curry,40231758.00,43006362.00,45780966.00,0.00
Russell Westbrook,38506482.00,41358814.00,44211146.00,47063478.00
Chris Paul,38506482.00,41358814.00,44211146.00,0.00
James Harden,38199000.00,41254920.00,44310840.00,47366760.00
John Wall,38199000.00,41254920.00,44310840.00,47366760.00
LeBron James,37436858.00,39219566.00,41002274.00,0.00
Kevin Durant,37199000.00,39058950.00,40918900.00,42778850.00
Blake Griffin,34449964.00,36810996.00,38957028.00,0.00
Kyle Lowry,33296296.00,30500000.00,0.00,0.00
Paul George,33005556.00,35450412.00,37895268.00,0.00
Klay Thompson,32742000.00,35361360.00,37980720.00,40600080.00
Kemba Walker,32742000.00,34379100.00,36016200.00,37653300.00
Kawhi Leonard,32742000.00,34379100.00,36016200.00,0.00
Jimmy Butler,32742000.00,34379100.00,36016200.00,37653300.00
Tobias Harris,32742000.00,34358850.00,35995950.00,37633050.00
Gordon Hayward,32700690.00,34187085.00,0.00,0.00
Mike Conley,32511623.00,34502130.00,0.00,0.00
Kyrie Irving,31742000.00,33329100.00,34916200.00,36503300.00
Khris Middleton,30603448.00,33051724.00,35500000.00,37984276.00
Paul Millsap,30000000.00,0.00,0.00,0.00
Damian Lillard,29802321.00,31626953.00,43750000.00,47250000.00
Kevin Love,28942830.00,31258256.00,31258256.00,28942830.00
Al Horford,28000000.00,27500000.00,27000000.00,26500000.00
Nikola Vucevic,28000000.00,26000000.00,24000000.00,22000000.00
DeMar DeRozan,27739975.00,27739975.00,0.00,0.00
CJ McCollum,27556959.00,29354152.00,30864198.00,33333333.00
Nikola Jokic,27504630.00,29542010.00,31579390.00,33616770.00
Andrew Wiggins,27504630.00,29542010.00,31579390.00,33616770.00
Joel Embiid,27504630.00,29542010.00,31579390.00,33616770.00
Kristaps Porzingis,27285000.00,29467800.00,31650600.00,33833400.00
Karl-Anthony Towns,27285000.00,29467800.00,31650600.00,33833400.00
Devin Booker,27285000.00,29430000.00,31610000.00,33790000.00
D'Angelo Russell,27285000.00,28649250.00,30013500.00,31377750.00
Otto Porter,27250576.00,28489239.00,0.00,0.00
Anthony Davis,27093019.00,28751775.00,0.00,0.00
Andre Drummond,27093018.00,28751774.00,0.00,0.00
Bradley Beal,27093018.00,28751774.00,34502129.00,37262299.00
Hassan Whiteside,27093018.00,0.00,0.00,0.00
Jrue Holiday,26131111.00,26131111.00,27020000.00,0.00
LaMarcus Aldridge,26000000.00,24000000.00,0.00,0.00
Giannis Antetokounmpo,25842697.00,27528088.00,0.00,0.00
